,id,type
1,Cluster_11565,miRNA
2,Cluster_12081,miRNA
3,Cluster_12083,miRNA
4,Cluster_12087,miRNA
5,Cluster_15097,miRNA
6,Cluster_1865,miRNA
7,Cluster_3109,miRNA
8,Cluster_5685,miRNA
9,Cluster_9420,miRNA
10,FUN_029878,gene
11,FUN_030073,gene
12,FUN_038783,gene
13,FUN_005146,gene
14,FUN_009832,gene
15,FUN_016908,gene
16,FUN_016943,gene
17,FUN_026284,gene
18,FUN_027750,gene
19,FUN_028416,gene
20,FUN_028435,gene
21,FUN_034037,gene
22,FUN_042063,gene
23,FUN_038836,gene
24,FUN_037145,gene
25,FUN_032597,gene
26,FUN_000442,gene
27,FUN_000443,gene
28,FUN_005090,gene
29,FUN_008590,gene
30,FUN_023695,gene
31,FUN_031919,gene
32,FUN_032657,gene
33,FUN_001912,gene
34,FUN_017265,gene
35,FUN_038519,gene
36,FUN_001927,gene
37,FUN_009784,gene
38,FUN_027906,gene
39,FUN_034222,gene
40,FUN_010858,gene
41,FUN_008750,gene
42,FUN_009206,gene
43,FUN_017000,gene
44,FUN_037284,gene
45,lncRNA_12250,lncRNA
46,lncRNA_6836,lncRNA
47,lncRNA_13045,lncRNA
