,id,type
1,Cluster_10452,miRNA
2,Cluster_11565,miRNA
3,Cluster_12081,miRNA
4,Cluster_12083,miRNA
5,Cluster_12087,miRNA
6,Cluster_13327,miRNA
7,Cluster_13647,miRNA
8,Cluster_14146,miRNA
9,Cluster_14165,miRNA
10,Cluster_14532,miRNA
11,Cluster_14605,miRNA
12,Cluster_14610,miRNA
13,Cluster_14633,miRNA
14,Cluster_14692,miRNA
15,Cluster_15097,miRNA
16,Cluster_16354,miRNA
17,Cluster_17173,miRNA
18,Cluster_17186,miRNA
19,Cluster_17192,miRNA
20,Cluster_17245,miRNA
21,Cluster_17623,miRNA
22,Cluster_1819,miRNA
23,Cluster_1832,miRNA
24,Cluster_1833,miRNA
25,Cluster_1836,miRNA
26,Cluster_1865,miRNA
27,Cluster_1950,miRNA
28,Cluster_1951,miRNA
29,Cluster_2372,miRNA
30,Cluster_2500,miRNA
31,Cluster_2746,miRNA
32,Cluster_3109,miRNA
33,Cluster_3226,miRNA
34,Cluster_3227,miRNA
35,Cluster_3301,miRNA
36,Cluster_4026,miRNA
37,Cluster_4034,miRNA
38,Cluster_4036,miRNA
39,Cluster_4752,miRNA
40,Cluster_4754,miRNA
41,Cluster_5516,miRNA
42,Cluster_5517,miRNA
43,Cluster_5603,miRNA
44,Cluster_5685,miRNA
45,Cluster_9366,miRNA
46,Cluster_9380,miRNA
47,Cluster_9420,miRNA
48,Cluster_9512,miRNA
49,Cluster_9532,miRNA
50,Cluster_9706,miRNA
51,Cluster_9786,miRNA
52,FUN_000006,gene
53,FUN_000113,gene
54,FUN_000128,gene
55,FUN_000137,gene
56,FUN_000156,gene
57,FUN_000070,gene
58,FUN_000083,gene
59,FUN_001292,gene
60,FUN_001303,gene
61,FUN_001308,gene
62,FUN_001324,gene
63,FUN_001348,gene
64,FUN_001422,gene
65,FUN_001423,gene
66,FUN_000301,gene
67,FUN_001524,gene
68,FUN_001583,gene
69,FUN_001608,gene
70,FUN_001609,gene
71,FUN_000194,gene
72,FUN_001613,gene
73,FUN_001619,gene
74,FUN_001631,gene
75,FUN_001656,gene
76,FUN_001658,gene
77,FUN_001661,gene
78,FUN_001715,gene
79,FUN_001822,gene
80,FUN_001850,gene
81,FUN_000351,gene
82,FUN_002072,gene
83,FUN_002122,gene
84,FUN_000461,gene
85,FUN_000523,gene
86,FUN_000536,gene
87,FUN_000570,gene
88,FUN_000921,gene
89,FUN_001034,gene
90,FUN_001066,gene
91,FUN_001204,gene
92,FUN_001209,gene
93,FUN_002433,gene
94,FUN_003813,gene
95,FUN_002439,gene
96,FUN_003853,gene
97,FUN_003854,gene
98,FUN_004041,gene
99,FUN_004094,gene
100,FUN_004109,gene
101,FUN_004226,gene
102,FUN_004228,gene
103,FUN_004265,gene
104,FUN_004296,gene
105,FUN_004465,gene
106,FUN_004481,gene
107,FUN_004547,gene
108,FUN_004568,gene
109,FUN_004583,gene
110,FUN_004635,gene
111,FUN_004710,gene
112,FUN_004747,gene
113,FUN_004782,gene
114,FUN_004784,gene
115,FUN_004831,gene
116,FUN_004839,gene
117,FUN_004879,gene
118,FUN_004947,gene
119,FUN_005049,gene
120,FUN_005194,gene
121,FUN_002543,gene
122,FUN_005350,gene
123,FUN_005358,gene
124,FUN_005384,gene
125,FUN_005468,gene
126,FUN_002679,gene
127,FUN_002704,gene
128,FUN_002707,gene
129,FUN_002861,gene
130,FUN_002881,gene
131,FUN_002889,gene
132,FUN_002901,gene
