,id,type,DEG_tp2_tp4,GO_BP
1,FUN_000113,gene,no,
2,FUN_000128,gene,no,
3,FUN_000137,gene,no,
4,FUN_000156,gene,no,
5,FUN_000070,gene,no,
6,FUN_000083,gene,no,
7,FUN_001422,gene,no,camera-type eye development [GO:0043010]
8,FUN_001422,gene,no,ciliary basal body-plasma membrane docking [GO:0097711]
9,FUN_001422,gene,no,ciliary transition zone assembly [GO:1905349]
10,FUN_001422,gene,no,cilium assembly [GO:0060271]
11,FUN_001422,gene,no,eye photoreceptor cell development [GO:0042462]
12,FUN_001422,gene,no,hindbrain development [GO:0030902]
13,FUN_001422,gene,no,kidney development [GO:0001822]
14,FUN_001422,gene,no,non-motile cilium assembly [GO:1905515]
15,FUN_001422,gene,no,otic vesicle formation [GO:0030916]
16,FUN_001422,gene,no,positive regulation of DNA-templated transcription [GO:0045893]
17,FUN_001422,gene,no,positive regulation of intracellular protein transport [GO:0090316]
18,FUN_001422,gene,no,pronephros development [GO:0048793]
19,FUN_001422,gene,no,protein transport [GO:0015031]
20,FUN_001422,gene,no,regulation of establishment of protein localization [GO:0070201]
21,FUN_001656,gene,no,
22,FUN_001658,gene,no,'de novo' GDP-L-fucose biosynthetic process [GO:0042351]
23,FUN_001658,gene,no,GDP-mannose metabolic process [GO:0019673]
24,FUN_001658,gene,no,positive regulation of endothelial cell migration [GO:0010595]
25,FUN_001658,gene,no,positive regulation of endothelial cell-matrix adhesion via fibronectin [GO:1904906]
26,FUN_001658,gene,no,T cell mediated cytotoxicity [GO:0001913]
27,FUN_001204,gene,no,cornification [GO:0070268]
28,FUN_001204,gene,no,lipid catabolic process [GO:0016042]
29,FUN_002433,gene,no,fatty acid beta-oxidation [GO:0006635]
30,FUN_002433,gene,no,leucine catabolic process [GO:0006552]
31,FUN_004465,gene,no,G1/S transition of mitotic cell cycle [GO:0000082]
32,FUN_004465,gene,no,long-term synaptic depression [GO:0060292]
33,FUN_004465,gene,no,long-term synaptic potentiation [GO:0060291]
34,FUN_004465,gene,no,memory [GO:0007613]
35,FUN_004465,gene,no,mitotic cell cycle [GO:0000278]
36,FUN_004465,gene,no,mitotic spindle organization [GO:0007052]
37,FUN_004465,gene,no,negative regulation of angiogenesis [GO:0016525]
38,FUN_004465,gene,no,negative regulation of apoptotic process [GO:0043066]
39,FUN_004465,gene,no,negative regulation of apoptotic process in bone marrow cell [GO:0071866]
40,FUN_004465,gene,no,negative regulation of cellular senescence [GO:2000773]
41,FUN_004465,gene,no,negative regulation of dendritic spine development [GO:0061000]
42,FUN_004465,gene,no,negative regulation of excitatory postsynaptic potential [GO:0090394]
43,FUN_004465,gene,no,negative regulation of protein binding [GO:0032091]
44,FUN_004465,gene,no,negative regulation of protein localization to cell surface [GO:2000009]
45,FUN_004465,gene,no,peptidyl-serine phosphorylation [GO:0018105]
