,id,type,DEG_tp2_tp4,GO_id
1,FUN_000113,gene,no,GO:0000786
2,FUN_000113,gene,no,GO:0003677
3,FUN_000113,gene,no,GO:0005634
4,FUN_000113,gene,no,GO:0030527
5,FUN_000113,gene,no,GO:0046982
6,FUN_000128,gene,no,GO:0000786
7,FUN_000128,gene,no,GO:0003677
8,FUN_000128,gene,no,GO:0005634
9,FUN_000128,gene,no,GO:0030527
10,FUN_000128,gene,no,GO:0046982
11,FUN_000137,gene,no,GO:0000786
12,FUN_000137,gene,no,GO:0003677
13,FUN_000137,gene,no,GO:0005634
14,FUN_000137,gene,no,GO:0030527
15,FUN_000137,gene,no,GO:0046982
16,FUN_000156,gene,no,GO:0000786
17,FUN_000156,gene,no,GO:0003677
18,FUN_000156,gene,no,GO:0005634
19,FUN_000156,gene,no,GO:0030527
20,FUN_000156,gene,no,GO:0046982
21,FUN_000070,gene,no,GO:0000786
22,FUN_000070,gene,no,GO:0003677
23,FUN_000070,gene,no,GO:0005634
24,FUN_000070,gene,no,GO:0030527
25,FUN_000070,gene,no,GO:0046982
26,FUN_000083,gene,no,GO:0000786
27,FUN_000083,gene,no,GO:0003677
28,FUN_000083,gene,no,GO:0005634
29,FUN_000083,gene,no,GO:0030527
30,FUN_000083,gene,no,GO:0046982
31,FUN_001422,gene,no,GO:0001822
32,FUN_001422,gene,no,GO:0005576
33,FUN_001422,gene,no,GO:0005634
34,FUN_001422,gene,no,GO:0005737
35,FUN_001422,gene,no,GO:0005813
36,FUN_001422,gene,no,GO:0005814
37,FUN_001422,gene,no,GO:0005829
38,FUN_001422,gene,no,GO:0015031
39,FUN_001422,gene,no,GO:0016020
40,FUN_001422,gene,no,GO:0030902
41,FUN_001422,gene,no,GO:0030916
42,FUN_001422,gene,no,GO:0032391
43,FUN_001422,gene,no,GO:0032991
44,FUN_001422,gene,no,GO:0034451
45,FUN_001422,gene,no,GO:0035580
46,FUN_001422,gene,no,GO:0035869
47,FUN_001422,gene,no,GO:0036038
48,FUN_001422,gene,no,GO:0036064
49,FUN_001422,gene,no,GO:0042462
50,FUN_001422,gene,no,GO:0042802
51,FUN_001422,gene,no,GO:0043010
52,FUN_001422,gene,no,GO:0045893
53,FUN_001422,gene,no,GO:0048793
54,FUN_001422,gene,no,GO:0060271
55,FUN_001422,gene,no,GO:0070201
56,FUN_001422,gene,no,GO:0090316
57,FUN_001422,gene,no,GO:0097711
58,FUN_001422,gene,no,GO:1905349
59,FUN_001422,gene,no,GO:1905515
60,FUN_001656,gene,no,GO:0016491
61,FUN_001658,gene,no,GO:0001913
62,FUN_001658,gene,no,GO:0010595
63,FUN_001658,gene,no,GO:0019673
64,FUN_001658,gene,no,GO:0042351
65,FUN_001658,gene,no,GO:0042802
66,FUN_001658,gene,no,GO:0047918
67,FUN_001658,gene,no,GO:0050577
68,FUN_001658,gene,no,GO:1904906
69,FUN_001204,gene,no,GO:0004465
70,FUN_001204,gene,no,GO:0005576
71,FUN_001204,gene,no,GO:0016042
72,FUN_001204,gene,no,GO:0043231
73,FUN_001204,gene,no,GO:0070268
74,FUN_002433,gene,no,GO:0003723
75,FUN_002433,gene,no,GO:0003730
76,FUN_002433,gene,no,GO:0004300
77,FUN_002433,gene,no,GO:0004490
78,FUN_002433,gene,no,GO:0005739
79,FUN_002433,gene,no,GO:0006552
80,FUN_002433,gene,no,GO:0006635
81,FUN_002433,gene,no,GO:0050011
82,FUN_004465,gene,no,GO:0000082
83,FUN_004465,gene,no,GO:0000278
84,FUN_004465,gene,no,GO:0000785
85,FUN_004465,gene,no,GO:0000922
86,FUN_004465,gene,no,GO:0002092
87,FUN_004465,gene,no,GO:0004674
88,FUN_004465,gene,no,GO:0005524
89,FUN_004465,gene,no,GO:0005634
90,FUN_004465,gene,no,GO:0005737
91,FUN_004465,gene,no,GO:0005813
92,FUN_004465,gene,no,GO:0005814
93,FUN_004465,gene,no,GO:0006468
94,FUN_004465,gene,no,GO:0007052
95,FUN_004465,gene,no,GO:0007265
96,FUN_004465,gene,no,GO:0007613
97,FUN_004465,gene,no,GO:0010508
98,FUN_004465,gene,no,GO:0016525
99,FUN_004465,gene,no,GO:0018105
100,FUN_004465,gene,no,GO:0019901
101,FUN_004465,gene,no,GO:0030425
102,FUN_004465,gene,no,GO:0032050
103,FUN_004465,gene,no,GO:0032091
104,FUN_004465,gene,no,GO:0032092
105,FUN_004465,gene,no,GO:0032436
106,FUN_004465,gene,no,GO:0032465
107,FUN_004465,gene,no,GO:0032486
108,FUN_004465,gene,no,GO:0043008
109,FUN_004465,gene,no,GO:0043066
110,FUN_004465,gene,no,GO:0044877
111,FUN_004465,gene,no,GO:0045202
112,FUN_004465,gene,no,GO:0045732
113,FUN_004465,gene,no,GO:0046599
114,FUN_004465,gene,no,GO:0048167
115,FUN_004465,gene,no,GO:0051020
116,FUN_004465,gene,no,GO:0051117
117,FUN_004465,gene,no,GO:0060291
118,FUN_004465,gene,no,GO:0060292
119,FUN_004465,gene,no,GO:0061000
120,FUN_004465,gene,no,GO:0071866
121,FUN_004465,gene,no,GO:0090050
122,FUN_004465,gene,no,GO:0090394
123,FUN_004465,gene,no,GO:0106310
124,FUN_004465,gene,no,GO:2000009
125,FUN_004465,gene,no,GO:2000773
126,FUN_004568,gene,no,GO:0005524
127,FUN_004568,gene,no,GO:0005654
128,FUN_004568,gene,no,GO:0005739
129,FUN_004568,gene,no,GO:0005743
130,FUN_004568,gene,no,GO:0005759
131,FUN_004568,gene,no,GO:0005829
132,FUN_004568,gene,no,GO:0006508
133,FUN_004568,gene,no,GO:0008270
134,FUN_004568,gene,no,GO:0009368
135,FUN_004568,gene,no,GO:0009841
136,FUN_004568,gene,no,GO:0016504
137,FUN_004568,gene,no,GO:0016887
138,FUN_004568,gene,no,GO:0042645
139,FUN_004568,gene,no,GO:0046034
140,FUN_004568,gene,no,GO:0046983
141,FUN_004568,gene,no,GO:0051082
142,FUN_004568,gene,no,GO:0051603
143,FUN_004568,gene,no,GO:0140662
144,FUN_004635,gene,no,GO:0000139
145,FUN_004635,gene,no,GO:0003829
146,FUN_004635,gene,no,GO:0005975
147,FUN_004635,gene,no,GO:0006493
148,FUN_004635,gene,no,GO:0008109
149,FUN_004635,gene,no,GO:0008375
150,FUN_004635,gene,no,GO:0016020
151,FUN_004635,gene,no,GO:0016266
152,FUN_004635,gene,no,GO:0048729
153,FUN_004635,gene,no,GO:0050892
154,FUN_004635,gene,no,GO:0060993
155,FUN_004635,gene,no,GO:0070062
156,FUN_004635,gene,no,GO:0106325
157,FUN_004635,gene,no,GO:0106326
158,FUN_002861,gene,no,GO:0000922
159,FUN_002861,gene,no,GO:0005737
160,FUN_002861,gene,no,GO:0005815
161,FUN_002861,gene,no,GO:0007049
162,FUN_002861,gene,no,GO:0007346
163,FUN_002861,gene,no,GO:0019900
164,FUN_002861,gene,no,GO:0030496
165,FUN_002861,gene,no,GO:0051301
166,FUN_006436,gene,no,GO:0004197
167,FUN_006436,gene,no,GO:0004843
168,FUN_006436,gene,no,GO:0005634
169,FUN_006436,gene,no,GO:0005829
170,FUN_006436,gene,no,GO:0006511
171,FUN_006436,gene,no,GO:0016579
172,FUN_006450,gene,no,GO:0005524
173,FUN_006450,gene,no,GO:0005737
174,FUN_006450,gene,no,GO:0005829
175,FUN_006450,gene,no,GO:0007249
176,FUN_006450,gene,no,GO:0014067
177,FUN_006450,gene,no,GO:0032088
178,FUN_006450,gene,no,GO:0032687
179,FUN_006450,gene,no,GO:0032688
180,FUN_006450,gene,no,GO:0032715
181,FUN_006450,gene,no,GO:0032720
182,FUN_006450,gene,no,GO:0034451
183,FUN_006450,gene,no,GO:0035556
184,FUN_006450,gene,no,GO:0036312
185,FUN_006450,gene,no,GO:0042110
186,FUN_006450,gene,no,GO:0043124
187,FUN_006450,gene,no,GO:0043231
188,FUN_006450,gene,no,GO:0045824
189,FUN_006450,gene,no,GO:0048147
190,FUN_006450,gene,no,GO:0048471
191,FUN_006450,gene,no,GO:0050680
192,FUN_006450,gene,no,GO:0050728
193,FUN_006450,gene,no,GO:1900016
