,id,type
1,Cluster_10452,miRNA
2,Cluster_11565,miRNA
3,Cluster_12081,miRNA
4,Cluster_12083,miRNA
5,Cluster_12087,miRNA
6,Cluster_13327,miRNA
7,Cluster_13647,miRNA
8,Cluster_14146,miRNA
9,Cluster_14165,miRNA
10,Cluster_14532,miRNA
11,Cluster_14605,miRNA
12,Cluster_14610,miRNA
13,Cluster_14633,miRNA
14,Cluster_14692,miRNA
15,Cluster_15097,miRNA
16,Cluster_16354,miRNA
17,Cluster_17173,miRNA
18,Cluster_17186,miRNA
19,Cluster_17192,miRNA
20,Cluster_17245,miRNA
21,Cluster_17623,miRNA
22,Cluster_1819,miRNA
23,Cluster_1832,miRNA
24,Cluster_1833,miRNA
25,Cluster_1836,miRNA
26,Cluster_1865,miRNA
27,Cluster_1950,miRNA
28,Cluster_1951,miRNA
29,Cluster_2372,miRNA
30,Cluster_2500,miRNA
31,Cluster_2746,miRNA
32,Cluster_3109,miRNA
33,Cluster_3226,miRNA
34,Cluster_3227,miRNA
35,Cluster_3301,miRNA
36,Cluster_4034,miRNA
37,Cluster_4036,miRNA
38,Cluster_4752,miRNA
39,Cluster_4754,miRNA
40,Cluster_5516,miRNA
41,Cluster_5517,miRNA
42,Cluster_5603,miRNA
43,Cluster_5685,miRNA
44,Cluster_9366,miRNA
45,Cluster_9380,miRNA
46,Cluster_9420,miRNA
47,Cluster_9512,miRNA
48,Cluster_9532,miRNA
49,Cluster_9706,miRNA
50,Cluster_9786,miRNA
51,FUN_001034,gene
52,FUN_003854,gene
53,FUN_011999,gene
54,FUN_012427,gene
55,FUN_016008,gene
56,FUN_018764,gene
57,FUN_017790,gene
58,FUN_019689,gene
59,FUN_025430,gene
60,FUN_026475,gene
61,FUN_027408,gene
62,FUN_028765,gene
63,FUN_035356,gene
64,FUN_036953,gene
65,FUN_039787,gene
66,FUN_040401,gene
67,FUN_041874,gene
68,FUN_041882,gene
69,FUN_042168,gene
70,FUN_042904,gene
71,FUN_044233,gene
72,FUN_001301,gene
73,FUN_001855,gene
74,FUN_001887,gene
75,FUN_000584,gene
76,FUN_001169,gene
77,FUN_003719,gene
78,FUN_004024,gene
79,FUN_004306,gene
80,FUN_004984,gene
81,FUN_005154,gene
82,FUN_005348,gene
83,FUN_006930,gene
84,FUN_006933,gene
85,FUN_007101,gene
86,FUN_006018,gene
87,FUN_006225,gene
88,FUN_010843,gene
89,FUN_010893,gene
90,FUN_013133,gene
91,FUN_013464,gene
92,FUN_012341,gene
93,FUN_014695,gene
94,FUN_015354,gene
95,FUN_018537,gene
96,FUN_017757,gene
97,FUN_019559,gene
98,FUN_022255,gene
99,FUN_022386,gene
100,FUN_022997,gene
101,FUN_023055,gene
102,FUN_023357,gene
103,FUN_022874,gene
104,FUN_022875,gene
105,FUN_024210,gene
106,FUN_026582,gene
107,FUN_025783,gene
108,FUN_027811,gene
109,FUN_028982,gene
110,FUN_030719,gene
111,FUN_032001,gene
112,FUN_032396,gene
113,FUN_032403,gene
114,FUN_032889,gene
115,FUN_029711,gene
116,FUN_029878,gene
117,FUN_029950,gene
118,FUN_030073,gene
119,FUN_034386,gene
120,FUN_036214,gene
121,FUN_037678,gene
122,FUN_037680,gene
123,FUN_037040,gene
124,FUN_038783,gene
125,FUN_038260,gene
126,FUN_038626,gene
127,FUN_041451,gene
128,FUN_041459,gene
129,FUN_041486,gene
130,FUN_041905,gene
131,FUN_043642,gene
132,FUN_043303,gene
