,id,type
1,Cluster_10452,miRNA
2,Cluster_11565,miRNA
3,Cluster_12081,miRNA
4,Cluster_12083,miRNA
5,Cluster_12087,miRNA
6,Cluster_13327,miRNA
7,Cluster_13647,miRNA
8,Cluster_14146,miRNA
9,Cluster_14165,miRNA
10,Cluster_14532,miRNA
11,Cluster_14605,miRNA
12,Cluster_14610,miRNA
13,Cluster_14633,miRNA
14,Cluster_14692,miRNA
15,Cluster_15097,miRNA
16,Cluster_16354,miRNA
17,Cluster_17173,miRNA
18,Cluster_17186,miRNA
19,Cluster_17192,miRNA
20,Cluster_17245,miRNA
21,Cluster_17623,miRNA
22,Cluster_1819,miRNA
23,Cluster_1832,miRNA
24,Cluster_1833,miRNA
25,Cluster_1836,miRNA
26,Cluster_1865,miRNA
27,Cluster_1950,miRNA
28,Cluster_1951,miRNA
29,Cluster_2372,miRNA
30,Cluster_2500,miRNA
31,Cluster_2746,miRNA
32,Cluster_3109,miRNA
33,Cluster_3226,miRNA
34,Cluster_3227,miRNA
35,Cluster_3301,miRNA
36,Cluster_4026,miRNA
37,Cluster_4034,miRNA
38,Cluster_4036,miRNA
39,Cluster_4752,miRNA
40,Cluster_4754,miRNA
41,Cluster_5516,miRNA
42,Cluster_5517,miRNA
43,Cluster_5603,miRNA
44,Cluster_5685,miRNA
45,Cluster_9366,miRNA
46,Cluster_9380,miRNA
47,Cluster_9420,miRNA
48,Cluster_9512,miRNA
49,Cluster_9532,miRNA
50,Cluster_9706,miRNA
51,Cluster_9786,miRNA
52,FUN_001292,gene
53,FUN_001324,gene
54,FUN_001423,gene
55,FUN_001822,gene
56,FUN_001850,gene
57,FUN_001034,gene
58,FUN_001204,gene
59,FUN_002439,gene
60,FUN_003854,gene
61,FUN_004041,gene
62,FUN_004109,gene
63,FUN_004481,gene
64,FUN_004583,gene
65,FUN_004710,gene
66,FUN_004879,gene
67,FUN_005194,gene
68,FUN_005468,gene
69,FUN_002704,gene
70,FUN_002889,gene
71,FUN_006436,gene
72,FUN_006566,gene
73,FUN_006678,gene
74,FUN_006702,gene
75,FUN_006725,gene
76,FUN_006873,gene
77,FUN_006977,gene
78,FUN_005939,gene
79,FUN_006161,gene
80,FUN_006205,gene
81,FUN_006243,gene
82,FUN_008347,gene
83,FUN_008410,gene
84,FUN_008450,gene
85,FUN_008513,gene
86,FUN_007680,gene
87,FUN_007721,gene
88,FUN_007801,gene
89,FUN_007960,gene
90,FUN_008116,gene
91,FUN_008125,gene
92,FUN_008174,gene
93,FUN_009696,gene
94,FUN_009073,gene
95,FUN_009109,gene
96,FUN_009137,gene
97,FUN_008971,gene
98,FUN_011580,gene
99,FUN_010844,gene
100,FUN_012737,gene
101,FUN_013483,gene
102,FUN_013505,gene
103,FUN_013520,gene
104,FUN_013845,gene
105,FUN_013949,gene
106,FUN_014090,gene
107,FUN_014164,gene
108,FUN_011999,gene
109,FUN_012197,gene
110,FUN_012212,gene
111,FUN_012427,gene
112,FUN_012429,gene
113,FUN_015718,gene
114,FUN_014652,gene
115,FUN_014841,gene
116,FUN_014881,gene
117,FUN_014965,gene
118,FUN_015031,gene
119,FUN_014501,gene
120,FUN_016008,gene
121,FUN_016010,gene
122,FUN_017693,gene
123,FUN_016530,gene
124,FUN_016578,gene
125,FUN_016635,gene
126,FUN_018764,gene
127,FUN_018822,gene
128,FUN_018905,gene
129,FUN_017767,gene
130,FUN_017790,gene
131,FUN_019689,gene
132,FUN_022673,gene
