Channel State,Experiment Time (minutes),State Time (samples)
adapter,0,0
adapter,1,0
adapter,2,57246
adapter,3,15258
adapter,4,248914
adapter,5,238089
adapter,6,280137
adapter,7,255961
adapter,8,264267
adapter,9,261093
adapter,10,255721
adapter,11,287757
adapter,12,289173
adapter,13,260966
adapter,14,243633
adapter,15,248624
adapter,16,248664
adapter,17,203141
adapter,18,293894
adapter,19,216172
adapter,20,198604
adapter,21,215592
adapter,22,187823
adapter,23,229206
adapter,24,233517
adapter,25,202108
adapter,26,192972
adapter,27,202905
adapter,28,168855
adapter,29,231461
adapter,30,183958
adapter,31,172132
adapter,32,218301
adapter,33,229991
adapter,34,189232
adapter,35,203000
adapter,36,206192
adapter,37,178310
adapter,38,194721
adapter,39,183486
adapter,40,215078
adapter,41,184326
adapter,42,193695
adapter,43,192638
adapter,44,198099
adapter,45,182187
adapter,46,200272
adapter,47,161919
adapter,48,165077
adapter,49,180959
adapter,50,141439
adapter,51,160605
adapter,52,174796
adapter,53,162234
adapter,54,200179
adapter,55,162837
adapter,56,170889
adapter,57,147016
adapter,58,124580
adapter,59,150139
adapter,60,154427
adapter,61,200523
adapter,62,164367
adapter,63,153262
adapter,64,143247
adapter,65,141155
adapter,66,142075
adapter,67,145681
adapter,68,142661
adapter,69,123178
adapter,70,172814
adapter,71,115924
adapter,72,153953
adapter,73,165145
adapter,74,148656
adapter,75,163748
adapter,76,135429
adapter,77,125081
adapter,78,168390
adapter,79,181694
adapter,80,145694
adapter,81,158633
adapter,82,128554
adapter,83,132381
adapter,84,144814
adapter,85,98483
adapter,86,121429
adapter,87,152939
adapter,88,151507
adapter,89,140699
adapter,90,110462
adapter,91,112559
adapter,92,168063
adapter,93,118299
adapter,94,7859
adapter,95,0
adapter,96,50300
adapter,97,87188
adapter,98,165748
adapter,99,165219
adapter,100,124717
adapter,101,120013
adapter,102,108986
adapter,103,126799
adapter,104,109228
adapter,105,105029
adapter,106,127874
adapter,107,114542
adapter,108,126353
adapter,109,148798
adapter,110,114622
adapter,111,115665
adapter,112,115094
adapter,113,90299
adapter,114,127546
adapter,115,102399
adapter,116,82438
adapter,117,78679
adapter,118,79349
adapter,119,105114
adapter,120,156808
adapter,121,118625
adapter,122,128921
adapter,123,146663
adapter,124,139397
adapter,125,150972
adapter,126,127458
adapter,127,134188
adapter,128,174193
adapter,129,96838
adapter,130,112257
adapter,131,135161
adapter,132,78733
adapter,133,137908
adapter,134,124681
adapter,135,155680
adapter,136,131336
adapter,137,110574
adapter,138,82539
adapter,139,101526
adapter,140,101477
adapter,141,144654
adapter,142,95104
adapter,143,85393
adapter,144,116964
adapter,145,122819
adapter,146,120670
adapter,147,113528
adapter,148,95028
adapter,149,111822
adapter,150,108483
adapter,151,96533
adapter,152,101641
adapter,153,95991
adapter,154,104495
adapter,155,117388
adapter,156,97589
adapter,157,125087
adapter,158,98544
adapter,159,130000
adapter,160,115221
adapter,161,96022
adapter,162,120802
adapter,163,81222
adapter,164,116657
adapter,165,106196
adapter,166,129792
adapter,167,127716
adapter,168,134583
adapter,169,132430
adapter,170,104050
adapter,171,126536
adapter,172,150467
adapter,173,129859
adapter,174,128304
adapter,175,133250
adapter,176,109775
adapter,177,147108
adapter,178,109599
adapter,179,112371
adapter,180,109505
adapter,181,120426
adapter,182,118398
adapter,183,114715
adapter,184,127624
adapter,185,116240
adapter,186,106311
adapter,187,48048
adapter,188,0
adapter,189,28386
adapter,190,2033
adapter,191,109933
adapter,192,98329
adapter,193,141722
adapter,194,106286
adapter,195,109557
adapter,196,102402
adapter,197,74687
adapter,198,84171
adapter,199,78832
adapter,200,84478
adapter,201,91976
adapter,202,98771
adapter,203,111853
adapter,204,94626
adapter,205,97977
adapter,206,101899
adapter,207,121978
adapter,208,101577
adapter,209,105928
adapter,210,96337
adapter,211,92372
adapter,212,74340
adapter,213,46886
adapter,214,66450
adapter,215,62262
adapter,216,61797
adapter,217,76640
adapter,218,69357
adapter,219,78251
adapter,220,67059
adapter,221,59045
adapter,222,65402
adapter,223,65167
adapter,224,61078
adapter,225,65531
adapter,226,61947
adapter,227,59189
adapter,228,57442
adapter,229,47107
adapter,230,81938
adapter,231,83023
adapter,232,62610
adapter,233,61035
adapter,234,49851
adapter,235,43150
adapter,236,86234
adapter,237,71417
adapter,238,63757
adapter,239,51419
adapter,240,49170
adapter,241,86591
adapter,242,76876
adapter,243,90842
adapter,244,85441
adapter,245,71723
adapter,246,63122
adapter,247,90919
adapter,248,112976
adapter,249,73590
adapter,250,86835
adapter,251,62781
adapter,252,81895
adapter,253,59622
adapter,254,89582
adapter,255,69249
adapter,256,90038
adapter,257,79634
adapter,258,74668
adapter,259,81341
adapter,260,66965
adapter,261,61032
adapter,262,72530
adapter,263,64329
adapter,264,97943
adapter,265,65282
adapter,266,65189
adapter,267,85391
adapter,268,74100
adapter,269,64395
adapter,270,65357
adapter,271,77668
adapter,272,69286
adapter,273,74661
adapter,274,63099
adapter,275,72229
adapter,276,79798
adapter,277,70650
adapter,278,75820
adapter,279,69373
adapter,280,72837
adapter,281,836
adapter,282,0
adapter,283,0
adapter,284,43532
adapter,285,84263
adapter,286,90960
adapter,287,101166
adapter,288,134988
adapter,289,100031
adapter,290,112368
adapter,291,83981
adapter,292,88601
adapter,293,59102
adapter,294,70017
adapter,295,108107
adapter,296,98342
adapter,297,112541
adapter,298,84378
adapter,299,108039
adapter,300,84039
adapter,301,75308
adapter,302,92486
adapter,303,70930
adapter,304,62570
adapter,305,59505
adapter,306,80316
adapter,307,71632
adapter,308,80024
adapter,309,63885
adapter,310,73207
adapter,311,54394
adapter,312,53864
adapter,313,56657
adapter,314,72331
adapter,315,68864
adapter,316,46109
adapter,317,38651
adapter,318,57470
adapter,319,73113
adapter,320,57568
adapter,321,72576
adapter,322,53578
adapter,323,59451
adapter,324,67356
adapter,325,60211
adapter,326,72070
adapter,327,57186
adapter,328,44741
adapter,329,83152
adapter,330,70215
adapter,331,63775
adapter,332,60039
adapter,333,72994
adapter,334,53858
adapter,335,39484
adapter,336,30164
adapter,337,34738
adapter,338,22486
adapter,339,64780
adapter,340,36571
adapter,341,44526
adapter,342,45588
adapter,343,44472
adapter,344,42656
adapter,345,45466
adapter,346,48426
adapter,347,37138
adapter,348,46747
adapter,349,43790
adapter,350,42160
adapter,351,46111
adapter,352,49298
adapter,353,54767
adapter,354,41707
adapter,355,46042
adapter,356,45236
adapter,357,38931
adapter,358,45187
adapter,359,32593
adapter,360,44422
adapter,361,27224
adapter,362,26455
adapter,363,30403
adapter,364,24897
adapter,365,24937
adapter,366,46673
adapter,367,28495
adapter,368,32234
adapter,369,23000
adapter,370,23387
adapter,371,29659
adapter,372,16351
adapter,373,17593
adapter,374,27840
adapter,375,13395
adapter,376,0
adapter,377,14098
adapter,378,5556
adapter,379,66691
adapter,380,55151
adapter,381,71568
adapter,382,71232
adapter,383,71906
adapter,384,65793
adapter,385,45896
adapter,386,30859
adapter,387,36632
adapter,388,43289
adapter,389,54271
adapter,390,36817
adapter,391,56733
adapter,392,45234
adapter,393,48404
adapter,394,54138
adapter,395,48773
adapter,396,33252
adapter,397,24768
adapter,398,44656
adapter,399,38146
adapter,400,35786
adapter,401,52111
adapter,402,44595
adapter,403,26959
adapter,404,35368
adapter,405,33427
adapter,406,37627
adapter,407,33656
adapter,408,41364
adapter,409,33800
adapter,410,41494
adapter,411,74570
adapter,412,62250
adapter,413,47064
adapter,414,56516
adapter,415,59817
adapter,416,56483
adapter,417,58817
adapter,418,40429
adapter,419,42944
adapter,420,69498
adapter,421,55364
adapter,422,32623
adapter,423,42401
adapter,424,32529
adapter,425,27798
adapter,426,32145
