Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,36,0,0,0,118444,15317,9172,0,0
3,62,59,3,0,206003,26423,15825,18703,206003
4,849,59,3,0,5632998,682824,409354,18703,206003
5,1787,59,3,0,12006122,1457373,873715,18703,206003
6,2662,59,3,0,18255695,2214264,1327493,18703,206003
7,3535,1608,163,0,24219381,2942539,1764110,1216514,16148654
8,4347,1608,163,0,29811362,3621895,2171404,1216514,16148654
9,5222,3373,322,0,36176383,4394919,2634864,1855638,23393672
10,6135,4038,371,0,42565544,5176821,3103632,2318230,29275169
11,7051,4892,479,0,48900990,5943464,3563254,3061434,39382114
12,7944,4892,479,0,54952739,6680281,4004972,3061434,39382114
13,8836,4892,479,0,61142548,7434864,4457367,3061434,39382114
14,9755,8482,766,0,67753911,8227789,4932760,4996276,63441326
15,10601,8482,766,0,73922821,8968615,5376910,4996276,63441326
16,11455,8482,766,0,80490076,9747177,5843699,4996276,63441326
17,12229,9963,898,0,86616809,10475277,6280257,6115781,79299432
18,13082,9963,898,0,92853553,11221706,6727767,6115781,79299432
19,13931,10793,959,0,102951677,12352148,7405693,6406091,82740709
20,14677,12250,1070,0,108840348,13049492,7823801,7165481,92478061
21,15411,13096,1146,0,114455255,13720199,8225931,7835178,102050509
22,16115,13096,1146,0,119506135,14322120,8586806,7835178,102050509
23,16817,13096,1146,0,125805332,15064608,9032027,7835178,102050509
24,17545,14619,1276,0,131483071,15738755,9436226,8988747,118297348
25,18326,15963,1381,0,137217160,16423773,9846936,9452581,123889764
26,19092,15963,1381,0,142883166,17094004,10248768,9452581,123889764
27,19741,15963,1381,0,149714717,17895956,10729677,9452581,123889764
28,20482,17505,1517,0,155330338,18565085,11130857,10610742,140012818
29,21223,17505,1517,0,160901352,19230488,11529813,10610742,140012818
30,21942,18924,1613,0,166232246,19869015,11912634,11098516,145845832
31,22618,20414,1743,0,171645036,20510403,12297205,12245503,162045598
32,23363,20414,1743,0,179032377,21355959,12804236,12245503,162045598
33,24080,20414,1743,0,184370037,21993667,13186576,12245503,162045598
34,24815,20414,1743,0,189979088,22663084,13587928,12245503,162045598
35,25448,23195,1969,0,194959059,23255628,13943201,13830490,183458073
36,26142,23195,1969,0,200182906,23882408,14319002,13830490,183458073
37,26792,23195,1969,0,205616941,24533195,14709219,13830490,183458073
38,27483,23195,1969,0,210832638,25154258,15081585,13830490,183458073
39,28172,24687,2096,0,216046776,25778263,15455723,14963490,199451757
40,28834,25356,2133,0,221226312,26391631,15823478,15191277,202169425
41,29545,25949,2166,0,226633084,27035698,16209627,15389024,204570998
42,30198,26586,2215,0,236655731,28178407,16894993,15835625,210594514
43,30843,27457,2271,0,241706343,28780204,17255809,16529159,220623909
44,31438,27457,2271,0,246068207,29301267,17568211,16529159,220623909
