Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation Details (Preparation:Remarks),Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"USNM 50388","Specimen/Lot","Eunicea (Eunicea) palmeri Bayer, 1961","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea (Eunicea) palmeri Bayer, 1961 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","Paratype","Bayer. 1961. Stud Fauna Curacao Other Caribb Isl. 55 129-132, fig. 30(a-j), pl. 1, fig. 4, pl. 2, fig. 4.","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","",2,"","Alcohol (Ethanol); Dry","","Bayer, F. M.","10 Apr 1948","","North Atlantic Ocean","","","United States","Florida","","","Biscayne Bay, Soldier Key","","","","","","","","","1","","","","","","178792","","","","","","","","","14 Jan 2013 18:08:00","http://n2t.net/ark:/65665/361d18a54-5119-44a5-b7c3-cfc95f938768"
"USNM 50679","Specimen/Lot","Eunicea (Eunicea) palmeri Bayer, 1961","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea (Eunicea) palmeri Bayer, 1961 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","Paratype","Bayer. 1961. Stud Fauna Curacao Other Caribb Isl. 55 129-132, fig. 30(a-j), pl. 1, fig. 4, pl. 2, fig. 4.","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","",1,"","Dry","386-00","Palmer, E.","1884","","North Atlantic Ocean","Gulf of Mexico","","United States","Florida","","","Florida Keys, Key West, South Of","","","","","","","","","","","","","","","","","","","","","","","","14 Jan 2013 18:08:00","http://n2t.net/ark:/65665/3dca6e9dd-a0f5-48b1-b95e-a3abbd812785"
"USNM 50690","Specimen/Lot","Eunicea (Eunicea) palmeri Bayer, 1961","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea (Eunicea) palmeri Bayer, 1961 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","Eunicea palmeri Bayer, 1961","Paratype","Bayer. 1961. Stud Fauna Curacao Other Caribb Isl. 55 129-132, fig. 30(a-j), pl. 1, fig. 4, pl. 2, fig. 4.","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","",1,"","Dry","","Benedict, J. E.","1901","","North Atlantic Ocean","Gulf of Mexico","","United States","Florida","","","Florida Keys, Carysfort Reef","","","","","","","","","","","","","","","","","","","","","","","","14 Jan 2013 18:08:00","http://n2t.net/ark:/65665/3cbd21938-1bd3-4312-8895-84ff89f6e9b0"
"USNM 50760","Specimen/Lot","Eunicea (Eunicea) palmeri Bayer, 1961","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Sanchez, Juan A., Universidad de Los Andes (COLOMBIA)","2008","Eunicea (Eunicea) palmeri Bayer, 1961 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","Eunicea palmeri Bayer, 1961","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","",6,"","Dry","NOT REC.","Benedict, J. E.","1901","","North Atlantic Ocean","Gulf of Mexico","","United States","Florida","","","Florida Keys, Ragged Keys, Caesar's Creek","","","","","","","","","","","","","","","000000","","","","","","","","","07 Aug 2013 14:06:00","http://n2t.net/ark:/65665/321502de3-2346-4ee9-9d3e-bb7669cf7eca"
"USNM 1183001","Specimen/Lot","Eunicea (Eunicea) palmeri Bayer, 1961","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea (Eunicea) palmeri Bayer, 1961 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","",4,"","Dry","","","","","North Atlantic Ocean","Gulf of Mexico","","United States","Florida","","","Soldier Key","","","","","","","","","","","","","","","235519","","","","","","","","","14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3151e337a-69cc-4430-8a14-d30a22d8c896"
"USNM 1450965","Specimen/Lot","Eunicea (Euniceopsis) cf. fusca Duchassaing & Michelotti, 1860","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Botero, Leonor, (COLOMBIA)","1984","Eunicea (Euniceopsis) fusca Duchassaing & Michelotti, 1860 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","",1,"","Dry","","Botero, L.","1984","","North Atlantic Ocean","","","Colombia","","","","Santa Marta, near","","","","","","","","","6","","","","3","","359523","","","","","","","","","11 Mar 2019 18:36:00","http://n2t.net/ark:/65665/3949c66c7-b174-4d98-a1e2-c18e2775b9a8"
"USNM 50076","Specimen/Lot","Eunicea (Euniceopsis) clavigera Bayer, 1961","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea (Euniceopsis) clavigera Bayer, 1961 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","Paratype","Bayer. 1961. Stud Fauna Curacao Other Caribb Isl. 55 147-150, fig. 39,40, pl. 4, fig. 3.","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","",1,"","Dry","","","23 Jul 1951","","North Atlantic Ocean","","","Bermuda","","","","North Rocks","","","","","","","","","","","","","","","202894","","","","","","","","","14 Jan 2013 18:08:00","http://n2t.net/ark:/65665/36df68bcd-f9fb-4422-8671-9ff6036e60a5"
"USNM 1125143","Specimen/Lot","Eunicea (Euniceopsis) clavigera Bayer, 1961","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1969","Eunicea (Euniceopsis) clavigera Bayer, 1961 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","",1,"","Dry","","","Aug 1964","","North Atlantic Ocean","Gulf of Mexico","","Mexico","Veracruz","","","Western side (lado occidental) of Arrecife La Blanquilla","","","","","","","","","","","","","","","322031","","","","","","","","","14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3c6ac63d8-6d55-4cf4-a1ed-c9440b1f96e8"
"USNM 1195870","Specimen/Lot","Eunicea (Euniceopsis) clavigera Bayer, 1961","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea (Euniceopsis) clavigera Bayer, 1961 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","",1,"","Dry","","Kinzie, R.","13 Aug 1968","","North Atlantic Ocean","Caribbean Sea","Discovery Bay","Jamaica","","","","Discovery Bay, Rio Bueno, Off Cricket Pitch","","","","","","","","","30","","","This fits descriptionbut the clubs are a little different and very cuniform","","","332031","","","","","","","","","14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/342426cc5-75e3-4e60-b851-81658617ee01"
"USNM 100242","Specimen/Lot","Eunicea (Euniceopsis) fusca Duchassaing & Michelotti, 1860","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea (Euniceopsis) fusca Duchassaing & Michelotti, 1860 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","",1,"","Dry","","Ramirez, A.","16 Oct 1964","","North Atlantic Ocean","Gulf of Mexico","","Mexico","Veracruz","","","La Blanquilla Reef, West Side Between Both Lights","","","","","","","","","14","","","","","","295887","","","","","","","","","14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3c2f2ffdf-1b99-41d0-91ec-c8c5db3b0d90"
