Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation Details (Preparation:Remarks),Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"USNM 53571","Specimen/Lot","Gorgonia ventalina ? Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Larson, R. J.","1972","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Larson, R. J.","27 Apr 1972","","North Atlantic Ocean","Caribbean Sea","","Belize","","","","Carrie Bow Cay, 100 Yard North Of North End","","","","CCRE - Caribbean Coral Reef Ecosystems, Belize","","","","","1 to 1.5","","","","","","300990","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3fe3fb87a-b4d5-4c45-b5eb-808f34e4741b"
"USNM 53563","Specimen/Lot","Gorgonia ventalina ? Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Larson, R. J.","1972","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Larson, R. J.","30 Apr 1972","","North Atlantic Ocean","Caribbean Sea","","Belize","","","","Carrie Bow Cay, 50 Yards off S. end, coral heads, sand.","","","","CCRE - Caribbean Coral Reef Ecosystems, Belize","","","","","3 to 4","","","","","","300990","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/372c58ee0-d810-4968-91a1-376130cc5ba5"
"USNM 4082","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Rathbun, R.","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",0,"","Dry","","Langston, J. M.","","","North Atlantic Ocean","Caribbean Sea","","Haiti","","","","","","","","","","","","","","","","","","","000000","","","","","","","","","25 Feb 2025 18:13:00","http://n2t.net/ark:/65665/384ea078a-d9ec-41f2-8b01-569c1efcde43"
"USNM 42144","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","NOT REC.","United States Fish Commission","1898","","North Atlantic Ocean","Caribbean Sea","","Puerto Rico","","","","Playa De Ponce Reef","","","","Puerto Rico Expedition 1898-1899","Fish Hawk R/V","","","","","","","","","","000000","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/31a8b8358-ad72-4f41-b680-2b54fc6a0996"
"USNM 50221","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","1116B","Hummelinck, P. W.","15 Jul 1949","","North Atlantic Ocean","Caribbean Sea","","Netherlands Antilles","","","","St. Eustatius Island, Gallows Bay, Southern Part Of Bay","","","","","","","","","2","","","","","","189993","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/32b592c84-0c70-4fef-a479-83f58ffbeb82"
"USNM 50222","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",2,"","Alcohol (Ethanol); Dry","1124","Hummelinck, P. W.","2 Jun 1949","","North Atlantic Ocean","Caribbean Sea","","St. Barthelemy","","","","Fourche Island","","","","","","","","","","Intertidal","","","","","189993","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3e29ef0b2-04d4-4b39-acc8-365a9c7f0d8d"
"USNM 50261","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Alcohol (Ethanol); Dry","","Doochin, H.","27 Apr 1948","","North Atlantic Ocean","Gulf of Mexico","","United States","Florida","","","Florida Keys, Dry Tortugas, Bush Key","","","","","","","","","11 to 13","","","","","","178792","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/37cd43b70-dba3-47cb-95ed-f4c9a16f79fd"
"USNM 50346","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","May 1956","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",3,"","Dry","106-56","","13 Apr 1956","Dredge","North Atlantic Ocean","Caribbean Sea","","Netherlands Antilles","","","","Saba Bank",17.47,-63.22,"","Smithsonian - Bredin Caribbean Expedition","Freelance R/V","","","","13","","","","","","208263","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/389fc0f20-961a-4d27-a16b-fc19a8d0e54d"
"USNM 50347","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","May 1956","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",2,"","Dry","103-56","Schmitt, W. L.; Chace, F. A.; Nicholson, D. V.","12 Apr 1956","","North Atlantic Ocean","Caribbean Sea","","St. Kitts and Nevis","","","","St. Kitts (St. Christopher), windward beach opposite Frigate Bay, coral reef just off shore","","","","Smithsonian - Bredin Caribbean Expedition","Freelance R/V","","","","","","","","BREDIN/103-56","","208263","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3e79197ac-05c5-43c4-98c9-7204f00b7380"
"USNM 50348","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","112-56","Schmitt, W. L.; Chace, F. A.; Nicholson, D. V.","15 Apr 1956","","North Atlantic Ocean","Caribbean Sea","","British Virgin Islands","","","","Virgin Gorda, Colquhoun Reef, entrance to North Sound","","","","Smithsonian - Bredin Caribbean Expedition","Freelance R/V","","","","","","","","BREDIN/112-56","","208263","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/314a96cfb-cb4b-43d4-b017-3dfa94fae352"
