Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation Details (Preparation:Remarks),Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"USNM 1574856","Specimen/Lot","Antillogorgia bipinnata (Verrill, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Antillogorgia bipinnata (Verrill, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","Leptogorgia near barbadensis (Bayer, 1961)","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Forbes, M.","10 Sep 1966","","North Atlantic Ocean","","","Bahamas","","","","Eleuthera Island, 0.5 miles South of Powell Point","","","","","","","","","18","","","","","","","","","","","","","","","12 Jul 2019 20:41:00","http://n2t.net/ark:/65665/39b950d21-4293-4c07-938d-c7d7e47c9704"
"USNM 50266","Specimen/Lot","Eunicea succinea (Pallas, 1766)","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Sanchez, Juan A., Universidad de Los Andes (COLOMBIA)","2008","Eunicea succinea (Pallas, 1766) : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","Leptogorgia succinea hummelincki Verrill","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","",1,"","Dry","8","Shoemaker, C. R.","10 Jul 1915","","North Atlantic Ocean","Caribbean Sea","","Virgin Islands of the United States","","","","St. John Island","","","","","","","","","5","","","","","","058705","","","","","","","","","14 Jan 2013 18:23:00","http://n2t.net/ark:/65665/32652b835-370d-425a-a467-651afc37ae72"
"USNM 1199270","Specimen/Lot","Leptogorgia ? sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","28 Jan 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Birkeland, C. E.","21 Mar 1971","","North Pacific Ocean","Gulf of Chiriqui","","Panama","","","","Naranja Island, near base of rock reef on rock wall","","","","Smithsonian STRI Panama Survey","","","","","12","","","","","specimen number : P24","296348","","","","","","","","","15 Aug 2016 17:58:00","http://n2t.net/ark:/65665/3e6d57788-3cda-4f6a-9392-f8d73447e04e"
"USNM 1199272","Specimen/Lot","Leptogorgia ? sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","28 Jan 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",3,"","Dry","","Birkeland, C. E.","21 Mar 1971","","North Pacific Ocean","Gulf of Chiriqui","","Panama","","","","Naranja Island, near base of rock reef on rock wall","","","","Smithsonian STRI Panama Survey","","","","","12","","","","","specimen number : P27","296348","","","","","","","","","15 Aug 2016 17:58:00","http://n2t.net/ark:/65665/3de7cce21-8f38-4c22-a72d-24199e0acbc9"
"USNM 1199282","Specimen/Lot","Leptogorgia ? sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","28 Jan 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","P44","","23 Aug 1971","","North Pacific Ocean","Gulf of Panama","","Panama","","","","Perlas Archipelago, Monte Island",8.33,-70.12,"","Smithsonian STRI Panama Survey","","","","","5","","","","","specimen number : P4","296348","","","","","","","","","30 Sep 2016 15:16:00","http://n2t.net/ark:/65665/322005d9a-6611-47cc-91aa-1628ed38cc9b"
"USNM 50537","Specimen/Lot","Leptogorgia acuta Bielschowsky, 1918","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Leptogorgia acuta Bielschowsky, 1918 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",3,"","Dry","","Berry, S. S.","1949","","North Pacific Ocean","Gulf of California","","Mexico","Sonora","","","Adair Bay, Cholla Cove, From Runnels Of Outer Reefs",31.32,-113.65,"","","","","","","","Intertidal","","","","","211050","","","","","","","","","13 Dec 2018 15:32:00","http://n2t.net/ark:/65665/3505272a9-6535-4b43-bca5-ba230647fec1"
"USNM 12583","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Verrill, Addison E., Peabody Museum, Yale","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Duges, A.","","","North Pacific Ocean","","","Mexico","","","","Along Coast","","","","","","","","","","","","","","","016268","","","","","","","","","14 Jan 2013 18:16:00","http://n2t.net/ark:/65665/394466b07-0d61-4bc4-819f-e00cae08c676"
"USNM 17554","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Cary, L. R.","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Duges, A.","24 Aug 1891","","North Pacific Ocean","","","Mexico","","","","","","","","","","","","","","","","","","","020097","","","","","","","","","26 Jul 2013 15:46:00","http://n2t.net/ark:/65665/35266efee-edb8-486c-a09c-c91a5dbf18bc"
"USNM 33610","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Verrill, Addison E., Peabody Museum, Yale","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","","","","North Pacific Ocean","","","Mexico","Guerrero","","","Acapulco","","","","","","","","","","","","","","","000000","","","","","","","","","14 Jan 2013 18:16:00","http://n2t.net/ark:/65665/31f6cd11d-18b7-40b3-8d5e-5b552e8ed062"
"USNM 34060","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Cash, L. C.","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","","","","North Pacific Ocean","Gulf of Panama","","Panama","","","","Panama Bay","","","","","","","","","","","","","","","056846","","","","","","","","","14 Jan 2013 18:16:00","http://n2t.net/ark:/65665/3cb1c8e26-9e06-4002-8a09-7604e80dfde5"
