"","Catalog.Number","Kind.of.Object","Scientific.Name","Family","Phylum","Class","Order","Identified.By","Date.Identified","Current.Identification","Other.Identifications","Type.Status","Type.Citations","Kind.of.Voucher","Classification","Common.Name","Collection.Name","Specimen.Count","Sex.and.Stage","Preparation.Details..Preparation.Remarks.","Station.Number","Collector.s.","Date.Collected","Collection.Method","Ocean","Sea.Gulf","Bay.Sound","Country","Province.State","District.County","City.Town","Precise.Locality","Centroid.Latitude","Centroid.Longitude","Elevation..m.","Expedition.Name","Vessel","Cruise","River.Basin","Microhabitat.Description","Depth..m.","Depth.Notes","Geologic.Age","Notes","Field.Number.s.","Other.Numbers..Type...Value.","Accession.Number","Genetic.Sample.Type","Biorepository.Number","Specimen.Voucher.Number","Bold.ID","GenBank.Numbers","Preservation.Method","Embargo.","Depleted.","Record.Last.Modified","EZID","Year.Collected","Species.Clean"
"27","USNM 14366","Specimen/Lot","Eunicea (Euniceopsis) tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea (Euniceopsis) tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","2655","United States Fish Commission","2 May 1886","Trawl - Large Beam","North Atlantic Ocean","","","Bahamas","","","","Little Bahama Bank, Grand Cay, North of",27.3667,-78.125,NA,"","Albatross R/V","",NA,"","618","",NA,"","USFC/A2655","",NA,NA,NA,NA,NA,"",NA,NA,NA,"31 Jan 2018 19:12:00","http://n2t.net/ark:/65665/3f4872deb-abbd-4cf7-844c-f0c41b5d1293",1886,"Eunicea tourneforti"
"704","USNM 100609","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","Apr 2000","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Miller, M. W.","17 Mar 2000","","North Atlantic Ocean","Caribbean Sea","","","","","","Navassa Island, NW Point",NA,NA,NA,"","","",NA,"","","",NA,"","","",2016440,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/35f047649-3533-44bd-b378-4fbb0368d71c",2000,"Eunicea tourneforti"
"705","USNM 14366","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","2",NA,"Dry","2655","United States Fish Commission","2 May 1886","Trawl - Large Beam","North Atlantic Ocean","","","Bahamas","","","","Little Bahama Bank, Grand Cay, North of",27.3667,-78.125,NA,"","Albatross R/V","",NA,"","618","",NA,"","USFC/A2655","",0,NA,NA,NA,NA,"",NA,NA,NA,"31 Jan 2018 19:12:00","http://n2t.net/ark:/65665/3be31f182-a50f-4c44-8368-3e1335a52974",1886,"Eunicea tourneforti"
"706","USNM 14399","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","15",NA,"Dry","2655","United States Fish Commission","2 May 1886","Trawl - Large Beam","North Atlantic Ocean","","","Bahamas","","","","Little Bahama Bank, Grand Cay, North of",27.3667,-78.125,NA,"","Albatross R/V","",NA,"","618","",NA,"","USFC/A2655","",0,NA,NA,NA,NA,"",NA,NA,NA,"31 Jan 2018 19:12:00","http://n2t.net/ark:/65665/322efbc53-ccd1-46f7-9f77-50b1bb1e559e",1886,"Eunicea tourneforti"
"707","USNM 1630","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Woodbury","","","North Atlantic Ocean","Gulf of Mexico","","United States","Florida","","","Florida Keys, Dry Tortugas, Garden Key",NA,NA,NA,"","","",NA,"","","",NA,"","","",0,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3697983e9-f557-4358-93ad-6c8816752c41",NA,"Eunicea tourneforti"
"708","USNM 19054","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","19 Mar 1959","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","2",NA,"Dry","","Stanton, W. A.","Aug 1898","","North Atlantic Ocean","Caribbean Sea","","Belize","","","","Reef at Spanish Caye",NA,NA,NA,"","","",NA,"","","",NA,"","","",34976,NA,NA,NA,NA,"",NA,NA,NA,"01 Apr 2016 14:57:00","http://n2t.net/ark:/65665/356bbca5a-c711-4bf5-a4e0-ec0227c22ff4",1898,"Eunicea tourneforti"
"709","USNM 42137","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","NOT REC.","United States Fish Commission","1898","","North Atlantic Ocean","Caribbean Sea","","Puerto Rico","","","","Playa De Ponce Reef",NA,NA,NA,"Puerto Rico Expedition 1898-1899","Fish Hawk R/V","",NA,"","","",NA,"","","",0,NA,NA,NA,NA,"",NA,NA,NA,"11 Mar 2019 18:32:00","http://n2t.net/ark:/65665/3e3d25603-4852-447a-b709-6e303ae37785",1898,"Eunicea tourneforti"
"710","USNM 44051","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","423","Questel, A.","1946","","North Atlantic Ocean","Caribbean Sea","","Guadeloupe","","","","Grande Terre Island",NA,NA,NA,"","","",NA,"","2 to 4","",NA,"","","",175262,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/39669d1aa-8841-472f-a528-3be3ee64f736",1946,"Eunicea tourneforti"
"711","USNM 50267","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Deichmann, Elizabeth","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","1116B","Hummelinck, P. W.","15 Jul 1949","","North Atlantic Ocean","Caribbean Sea","","Netherlands Antilles","","","","St. Eustatius Island, Gallows Bay, Southern Part Of Bay",NA,NA,NA,"","","",NA,"","2","",NA,"","","",189993,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/30dd38cd2-0f28-45ef-9f98-b64b7b7d9ccc",1949,"Eunicea tourneforti"
"712","USNM 50316","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","3",NA,"Dry","","Bayer, F. M.","Apr 1948","","North Atlantic Ocean","","","United States","Florida","","","Bache Shoal, Off Elliott Key",NA,NA,NA,"","","",NA,"","4","",NA,"","","",178792,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3c3fb49fd-0738-4f8a-ab3b-8bcac0ea0032",1948,"Eunicea tourneforti"
"713","USNM 50329","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","103-56","Schmitt, W. L.; Chace, F. A.; Nicholson, D. V.","12 Apr 1956","","North Atlantic Ocean","Caribbean Sea","","St. Kitts and Nevis","","","","St. Kitts (St. Christopher), windward beach opposite Frigate Bay, coral reef just off shore",NA,NA,NA,"Smithsonian - Bredin Caribbean Expedition","Freelance R/V","",NA,"","","",NA,"","BREDIN/103-56","",208263,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3e1d57150-2daf-4e69-ae40-bd73eb19f421",1956,"Eunicea tourneforti"
