,source,target,Alignment,Energy_Kcal_Mol,Al_Len,Subject_Identity,Query_Identity,PCC.cor,PCC_magnitude,PCC_direction,p_value
1,Cluster_10452,FUN_036953,ptg000026l:3799772-3814506;2 9;2001 2022,-13.32,7,100.00%,100.00%,0.613313361675259,0.613313361675259,1,2.57917989854399e-05
2,Cluster_10452,FUN_036953,ptg000026l:3799772-3814506;2 18;2869 2890,-15.76,16,62.50%,75.00%,0.613313361675259,0.613313361675259,1,2.57917989854399e-05
3,Cluster_10452,FUN_036953,ptg000026l:3799772-3814506;2 21;8102 8125,-20.06,21,61.90%,71.43%,0.613313361675259,0.613313361675259,1,2.57917989854399e-05
4,Cluster_11565,FUN_001301,ntLink_6:10922180-10925558;2 16;363 386,-10.19,16,75.00%,75.00%,0.673912540037677,0.673912540037677,1,1.87339188743037e-06
5,Cluster_11565,FUN_001855,ntLink_6:17051734-17061824;2 21;4440 4463,-11.72,21,61.90%,71.43%,0.613373108880052,0.613373108880052,1,2.57320630613142e-05
6,Cluster_11565,FUN_003719,ntLink_8:14665340-14714330;2 16;37192 37214,-13.8,15,80.00%,86.67%,0.701315375740303,0.701315375740303,1,4.64121672681544e-07
7,Cluster_11565,FUN_003719,ntLink_8:14665340-14714330;2 21;1260 1281,-16.64,20,75.00%,85.00%,0.701315375740303,0.701315375740303,1,4.64121672681544e-07
8,Cluster_11565,FUN_004024,ntLink_8:18272070-18371170;2 17;97333 97354,-14.71,15,66.67%,80.00%,0.772727207867809,0.772727207867809,1,5.16069953286676e-09
9,Cluster_11565,FUN_004306,ntLink_8:21739604-21759460;2 19;13160 13179,-16.1,17,70.59%,82.35%,0.641241167407586,0.641241167407586,1,8.26585171384828e-06
10,Cluster_11565,FUN_005154,ntLink_8:31874157-31875078;2 21;501 523,-17.18,20,65.00%,80.00%,0.707317580899103,0.707317580899103,1,3.34824529230394e-07
11,Cluster_11565,FUN_006930,ptg000001l:18432732-18469418;2 21;31026 31045,-15.01,19,63.16%,78.95%,0.723648113745667,0.723648113745667,1,1.32001878495084e-07
12,Cluster_11565,FUN_006930,ptg000001l:18432732-18469418;2 21;13177 13198,-19.63,19,63.16%,78.95%,0.723648113745667,0.723648113745667,1,1.32001878495084e-07
13,Cluster_11565,FUN_007101,ptg000001l:20492013-20508659;2 18;14219 14241,-13.47,17,70.59%,76.47%,0.607369249022545,0.607369249022545,1,3.24079718990666e-05
14,Cluster_11565,FUN_006225,ptg000001l:9414765-9456959;2 17;13509 13533,-23.6,18,72.22%,83.33%,0.634373675102048,0.634373675102048,1,1.10492213790486e-05
15,Cluster_11565,FUN_006225,ptg000001l:9414765-9456959;2 17;30846 30870,-23.6,18,72.22%,83.33%,0.634373675102048,0.634373675102048,1,1.10492213790486e-05
16,Cluster_11565,FUN_013133,ptg000008l:19895363-19904531;2 21;8338 8358,-14.03,19,63.16%,78.95%,0.673296506582366,0.673296506582366,1,1.92985139948188e-06
17,Cluster_11565,FUN_012341,ptg000008l:8082960-8089017;2 18;2052 2072,-12.94,16,75.00%,87.50%,0.768713944573866,0.768713944573866,1,6.92675137693056e-09
18,Cluster_11565,FUN_014695,ptg000009l:2228216-2229515;2 20;100 121,-12.78,18,66.67%,72.22%,0.66002883640709,0.66002883640709,1,3.5983533453653e-06
19,Cluster_11565,FUN_015354,ptg000009l:9136191-9157636;2 20;11735 11759,-14.39,21,66.67%,71.43%,0.716548210804176,0.716548210804176,1,1.99410345996458e-07
20,Cluster_11565,FUN_015354,ptg000009l:9136191-9157636;2 19;361 382,-13.75,17,70.59%,82.35%,0.716548210804176,0.716548210804176,1,1.99410345996458e-07
21,Cluster_11565,FUN_018537,ptg000012l:10601213-10614709;2 21;1052 1075,-19.79,21,71.43%,76.19%,0.699977072878107,0.699977072878107,1,4.98634392671878e-07
22,Cluster_11565,FUN_019559,ptg000015l:3303001-3392190;2 21;26697 26722,-12.65,23,69.57%,69.57%,0.692557837674455,0.692557837674455,1,7.36992438118602e-07
23,Cluster_11565,FUN_019559,ptg000015l:3303001-3392190;2 21;35005 35026,-11.92,19,57.89%,73.68%,0.692557837674455,0.692557837674455,1,7.36992438118602e-07
24,Cluster_11565,FUN_019559,ptg000015l:3303001-3392190;2 17;24823 24844,-17.56,15,80.00%,86.67%,0.692557837674455,0.692557837674455,1,7.36992438118602e-07
25,Cluster_11565,FUN_022255,ptg000016l:6915012-6919930;2 21;1801 1822,-12.5,19,73.68%,78.95%,0.69545044084419,0.69545044084419,1,6.33733941575334e-07
26,Cluster_11565,FUN_022386,ptg000016l:8417890-8465831;2 20;33646 33667,-13.16,18,61.11%,72.22%,0.644798404284109,0.644798404284109,1,7.09210223248224e-06
27,Cluster_11565,FUN_023055,ptg000017l:3082288-3089119;2 9;2361 2382,-13.87,7,100.00%,100.00%,0.756798244495879,0.756798244495879,1,1.60518361808542e-08
28,Cluster_11565,FUN_023357,ptg000017l:6614279-6646443;2 9;27113 27134,-13.42,7,100.00%,100.00%,0.666877705749704,0.666877705749704,1,2.61885284519156e-06
29,Cluster_11565,FUN_022874,ptg000017l:959252-969178;2 21;8725 8746,-14.21,19,63.16%,73.68%,0.730455416137724,0.730455416137724,1,8.78178497023733e-08
30,Cluster_11565,FUN_024210,ptg000018l:3481337-3490908;2 19;3109 3132,-18.49,20,75.00%,80.00%,0.644450583578342,0.644450583578342,1,7.1997264382133e-06
31,Cluster_11565,FUN_027811,ptg000021l:11101137-11101665;2 20;27 49,-17.15,19,63.16%,78.95%,0.715565318602805,0.715565318602805,1,2.10925320047678e-07
32,Cluster_11565,FUN_032001,ptg000023l:27742794-27823373;2 21;30497 30519,-16.23,20,65.00%,80.00%,0.60828851306386,0.60828851306386,1,3.12928827958432e-05
33,Cluster_11565,FUN_032001,ptg000023l:27742794-27823373;2 21;57258 57280,-16.23,20,65.00%,80.00%,0.60828851306386,0.60828851306386,1,3.12928827958432e-05
34,Cluster_11565,FUN_032403,ptg000023l:31584615-31590028;2 21;3903 3926,-18.18,21,61.90%,80.95%,0.694324026263408,0.694324026263408,1,6.72241304786555e-07
35,Cluster_11565,FUN_032889,ptg000023l:37272962-37283976;2 21;10461 10482,-14.05,19,57.89%,78.95%,0.790417945434207,0.790417945434207,1,1.30885646289511e-09
36,Cluster_11565,FUN_029878,ptg000023l:7179758-7192972;2 21;3213 3233,-15.32,19,68.42%,73.68%,0.810153710762828,0.810153710762828,1,2.40624039029994e-10
37,Cluster_11565,FUN_029878,ptg000023l:7179758-7192972;2 21;3750 3770,-12.09,19,73.68%,78.95%,0.810153710762828,0.810153710762828,1,2.40624039029994e-10
38,Cluster_11565,FUN_029878,ptg000023l:7179758-7192972;2 20;6999 7020,-18.72,18,66.67%,83.33%,0.810153710762828,0.810153710762828,1,2.40624039029994e-10
39,Cluster_11565,FUN_029950,ptg000023l:7945543-7946629;2 18;868 891,-15.93,18,72.22%,77.78%,0.749222258711604,0.749222258711604,1,2.6730191414276e-08
40,Cluster_11565,FUN_030073,ptg000023l:9126565-9132875;2 21;2985 3008,-17.35,22,68.18%,77.27%,0.84795122236018,0.84795122236018,1,5.02882693838189e-12
41,Cluster_11565,FUN_034386,ptg000024l:8333337-8338947;2 15;4922 4943,-13.04,13,76.92%,84.62%,0.683752772021744,0.683752772021744,1,1.15468226574684e-06
42,Cluster_11565,FUN_036214,ptg000025l:16655558-16658826;2 19;366 389,-13.49,19,73.68%,78.95%,0.752334992690844,0.752334992690844,1,2.17248345211208e-08
43,Cluster_11565,FUN_037680,ptg000026l:12275004-12297506;2 16;7447 7469,-14.77,15,80.00%,80.00%,0.751784978498605,0.751784978498605,1,2.25404570080579e-08
44,Cluster_11565,FUN_037680,ptg000026l:12275004-12297506;2 18;18644 18663,-15.59,16,81.25%,87.50%,0.751784978498605,0.751784978498605,1,2.25404570080579e-08
45,Cluster_11565,FUN_038783,ptg000027l:11391264-11392308;2 17;456 476,-18.21,15,80.00%,80.00%,0.822430246130073,0.822430246130073,1,7.57556854149597e-11
46,Cluster_11565,FUN_038260,ptg000027l:4812807-4821873;2 18;3810 3830,-12.94,16,75.00%,87.50%,0.628610224850125,0.628610224850125,1,1.40209370966433e-05
47,Cluster_12081,FUN_000572,ntLink_6:4454590-4457916;2 17;1337 1357,-13.37,15,66.67%,73.33%,0.794977251992864,0.794977251992864,1,8.99657963982065e-10
48,Cluster_12081,FUN_000610,ntLink_6:4991503-4992319;2 13;224 244,-15.96,11,90.91%,90.91%,0.677731353769689,0.677731353769689,1,1.55600251524279e-06
49,Cluster_12081,FUN_004105,ntLink_8:19329972-19331930;2 18;832 852,-16.33,16,62.50%,81.25%,0.782076498446414,0.782076498446414,1,2.53902843026102e-09
50,Cluster_12081,FUN_005146,ntLink_8:31586546-31689603;2 14;29031 29050,-14.72,12,83.33%,83.33%,0.817842121289203,0.817842121289203,1,1.17862027060307e-10
51,Cluster_12081,FUN_005146,ntLink_8:31586546-31689603;2 17;31725 31743,-12.96,15,73.33%,80.00%,0.817842121289203,0.817842121289203,1,1.17862027060307e-10
52,Cluster_12081,FUN_005146,ntLink_8:31586546-31689603;2 18;97490 97508,-14.16,16,75.00%,81.25%,0.817842121289203,0.817842121289203,1,1.17862027060307e-10
53,Cluster_12081,FUN_006440,ptg000001l:12455448-12464254;2 18;6024 6050,-17.38,22,68.18%,72.73%,0.677564520852342,0.677564520852342,1,1.56876163521956e-06
54,Cluster_12081,FUN_009832,ptg000004l:12312159-12313396;2 17;1013 1036,-17.1,18,66.67%,72.22%,0.847752315124192,0.847752315124192,1,5.14589707698333e-12
55,Cluster_12081,FUN_009833,ptg000004l:12314830-12341503;2 18;14149 14171,-19.21,18,61.11%,83.33%,0.668629816704242,0.668629816704242,1,2.4112239655003e-06
56,Cluster_12081,FUN_010040,ptg000004l:13858601-13859887;2 20;530 549,-11.41,18,55.56%,83.33%,0.700387635612876,0.700387635612876,1,4.878023630619e-07
57,Cluster_12081,FUN_009214,ptg000004l:4062799-4066054;2 16;980 1002,-14.21,16,75.00%,75.00%,0.74452531427776,0.74452531427776,1,3.6344685501457e-08
58,Cluster_12081,FUN_009360,ptg000004l:5790257-5799326;2 19;39 58,-15.67,17,76.47%,82.35%,0.731451410359313,0.731451410359313,1,8.26499254673968e-08
59,Cluster_12081,FUN_009600,ptg000004l:9150653-9169304;2 20;14032 14052,-20.17,18,66.67%,72.22%,0.702674237249309,0.702674237249309,1,4.31349646330218e-07
60,Cluster_12081,FUN_010207,ptg000005l:597477-599772;2 18;1865 1883,-16.53,16,68.75%,81.25%,0.651338577386032,0.651338577386032,1,5.32403246182503e-06
61,Cluster_12081,FUN_012889,ptg000008l:14216440-14240712;2 18;13413 13432,-17.5,16,81.25%,87.50%,-0.633674264956552,0.633674264956552,-1,1.13761987728754e-05
62,Cluster_12081,FUN_015867,ptg000009l:17189199-17243665;2 18;7534 7557,-12.82,19,73.68%,73.68%,0.652313910664197,0.652313910664197,1,5.09817152927924e-06
63,Cluster_12081,FUN_015867,ptg000009l:17189199-17243665;2 20;52658 52682,-12.38,22,63.64%,77.27%,0.652313910664197,0.652313910664197,1,5.09817152927924e-06
64,Cluster_12081,FUN_015199,ptg000009l:7413390-7414671;2 13;567 588,-22.35,12,83.33%,91.67%,0.703578486095894,0.703578486095894,1,4.10741922168914e-07
65,Cluster_12081,FUN_016908,ptg000011l:8709587-8726975;2 19;588 608,-16.66,17,58.82%,82.35%,0.870380385809573,0.870380385809573,1,2.97497693849395e-13
