,source,target,Alignment,Energy_Kcal_Mol,Al_Len,Subject_Identity,Query_Identity,PCC.cor,PCC_magnitude,PCC_direction,p_value,GO_BP
1,Cluster_11565,FUN_003719,ntLink_8:14665340-14714330;2 16;37192 37214,-13.8,15,80.00%,86.67%,0.701315375740303,0.701315375740303,1,4.64121672681544e-07,
2,Cluster_11565,FUN_003719,ntLink_8:14665340-14714330;2 21;1260 1281,-16.64,20,75.00%,85.00%,0.701315375740303,0.701315375740303,1,4.64121672681544e-07,
3,Cluster_11565,FUN_005154,ntLink_8:31874157-31875078;2 21;501 523,-17.18,20,65.00%,80.00%,0.707317580899103,0.707317580899103,1,3.34824529230394e-07,G protein-coupled receptor signaling pathway [GO:0007186]
4,Cluster_11565,FUN_005154,ntLink_8:31874157-31875078;2 21;501 523,-17.18,20,65.00%,80.00%,0.707317580899103,0.707317580899103,1,3.34824529230394e-07,regulation of adenylate cyclase activity [GO:0045761]
5,Cluster_11565,FUN_005154,ntLink_8:31874157-31875078;2 21;501 523,-17.18,20,65.00%,80.00%,0.707317580899103,0.707317580899103,1,3.34824529230394e-07,regulation of cAMP-dependent protein kinase activity [GO:2000479]
6,Cluster_11565,FUN_005154,ntLink_8:31874157-31875078;2 21;501 523,-17.18,20,65.00%,80.00%,0.707317580899103,0.707317580899103,1,3.34824529230394e-07,regulation of MAPK cascade [GO:0043408]
7,Cluster_11565,FUN_006930,ptg000001l:18432732-18469418;2 21;31026 31045,-15.01,19,63.16%,78.95%,0.723648113745667,0.723648113745667,1,1.32001878495084e-07,cell adhesion [GO:0007155]
8,Cluster_11565,FUN_006930,ptg000001l:18432732-18469418;2 21;31026 31045,-15.01,19,63.16%,78.95%,0.723648113745667,0.723648113745667,1,1.32001878495084e-07,epidermis development [GO:0008544]
9,Cluster_11565,FUN_006930,ptg000001l:18432732-18469418;2 21;31026 31045,-15.01,19,63.16%,78.95%,0.723648113745667,0.723648113745667,1,1.32001878495084e-07,gene expression [GO:0010467]
10,Cluster_11565,FUN_006930,ptg000001l:18432732-18469418;2 21;31026 31045,-15.01,19,63.16%,78.95%,0.723648113745667,0.723648113745667,1,1.32001878495084e-07,lymph circulation [GO:0003017]
11,Cluster_11565,FUN_006930,ptg000001l:18432732-18469418;2 21;31026 31045,-15.01,19,63.16%,78.95%,0.723648113745667,0.723648113745667,1,1.32001878495084e-07,lymph vessel development [GO:0001945]
12,Cluster_11565,FUN_006930,ptg000001l:18432732-18469418;2 21;31026 31045,-15.01,19,63.16%,78.95%,0.723648113745667,0.723648113745667,1,1.32001878495084e-07,lymph vessel morphogenesis [GO:0036303]
